1,1,662.26697,280.77265
1,2,514.5325949999999,194.876545
1,3,267.62641,263.779445
2,2,514.0589749999999,196.05569
2,3,278.16324,262.402825
2,1,658.252175,282.53423
3,2,513.25737,198.011015
3,1,652.91003,282.461455
3,3,282.87042499999995,261.66368
4,1,634.2483,281.20660999999996
4,2,508.58787000000007,198.256255
4,3,291.162885,259.45671500000003
5,1,622.83804,281.801825
5,2,506.216355,199.28301499999998
5,3,297.92494,255.98963
6,1,617.873,282.48900499999996
6,3,301.68449499999997,256.84808
6,2,500.07984999999996,200.5127
7,3,307.25086,257.154855
7,2,498.700415,202.52000500000003
7,1,612.36042,282.900965
8,2,498.02565,202.58031499999998
8,1,598.4484150000001,279.4076
8,3,312.02452000000005,254.18623
9,1,589.46,280.55861500000003
9,2,492.093965,202.83988
9,3,317.031815,253.66435
10,1,579.708925,281.870705
10,2,487.78797999999995,202.90033
10,3,322.130865,250.602325
11,3,335.950425,249.015675
11,1,565.672685,280.99577999999997
11,2,483.72884999999997,205.65037999999998
11,4,757.76435,361.761535
12,1,554.5068,280.583735
12,3,337.75453,248.63359499999999
12,2,479.825655,206.628465
12,4,756.4034999999999,354.166
13,4,753.42805,351.67375000000004
13,3,340.51252,247.477395
13,1,544.7527,280.793115
13,2,475.86159,207.14132
14,4,746.43555,350.35127
14,3,350.92688,242.731855
14,1,531.9715,279.78349
14,2,465.30817,209.36354
15,4,743.3042499999999,347.74199
15,3,353.407915,241.988385
15,2,461.9299,210.83826499999998
15,1,521.59549,278.403855
16,4,740.9844949999999,341.38399000000004
16,3,358.180615,241.41681
16,1,512.54397,278.34202999999997
16,2,461.26745,211.35903000000002
16,5,444.57645,209.95366
17,3,361.35374,239.906575
17,6,736.651265,338.13165
17,2,501.855085,278.564445
17,5,457.283525,210.21632499999998
17,4,760.537275,335.06030499999997
18,3,372.04767000000004,235.21412500000002
18,6,724.42145,335.18174
18,2,491.99095,277.52509
18,4,756.1952799999999,330.5566
18,5,445.8181,195.80599999999998
19,3,376.91893,235.35312499999998
19,6,720.23645,334.92985
19,2,482.59695,275.489485
19,4,751.76305,331.865175
19,5,444.86812,197.02012
20,3,377.59236999999996,234.25856
20,4,749.4597799999999,329.67502
20,6,718.666365,331.77544
20,2,473.061125,274.452565
20,7,752.4737250000001,271.185915
